d_model,n_heads,n_layers,lr,batch_size,epochs,byte_accuracy
128.0,16.0,4.0,0.0005,16.0,50.0,96.26506024096386
128.0,16.0,4.0,0.0005,16.0,100.0,95.42168674698796
128.0,16.0,4.0,0.0005,16.0,250.0,95.96385542168674
128.0,16.0,4.0,0.0005,16.0,500.0,95.42168674698796
128.0,16.0,8.0,0.0001,16.0,50.0,94.27710843373494
128.0,16.0,8.0,0.0001,16.0,100.0,95.3012048192771
128.0,16.0,8.0,0.0001,16.0,250.0,95.06024096385542
128.0,16.0,8.0,0.0001,16.0,500.0,95.66265060240964
128.0,16.0,8.0,0.0005,16.0,50.0,96.32530120481928
128.0,16.0,8.0,0.0005,16.0,100.0,96.20481927710843
128.0,16.0,8.0,0.0005,16.0,250.0,95.42168674698796
128.0,16.0,8.0,0.0005,16.0,500.0,95.72289156626506
256.0,2.0,2.0,0.0001,16.0,50.0,95.0
256.0,2.0,2.0,0.0001,16.0,100.0,95.18072289156626
256.0,2.0,2.0,0.0001,16.0,250.0,95.36144578313252
256.0,2.0,2.0,0.0001,16.0,500.0,94.4578313253012
256.0,2.0,2.0,0.0005,16.0,50.0,95.18072289156626
256.0,2.0,2.0,0.0005,16.0,100.0,95.96385542168674
256.0,2.0,2.0,0.0005,16.0,250.0,94.87951807228916
256.0,2.0,2.0,0.0005,16.0,500.0,94.81927710843374
256.0,2.0,4.0,0.0001,16.0,50.0,95.60240963855422
256.0,2.0,4.0,0.0001,16.0,100.0,95.60240963855422
256.0,2.0,4.0,0.0001,16.0,250.0,95.48192771084338
256.0,2.0,4.0,0.0001,16.0,500.0,95.66265060240964
256.0,2.0,4.0,0.0005,16.0,50.0,95.0
256.0,2.0,4.0,0.0005,16.0,100.0,95.12048192771084
256.0,2.0,4.0,0.0005,16.0,250.0,95.12048192771084
256.0,2.0,4.0,0.0005,16.0,500.0,95.48192771084338
256.0,2.0,8.0,0.0001,16.0,50.0,95.60240963855422
256.0,2.0,8.0,0.0001,16.0,100.0,96.02409638554217
256.0,2.0,8.0,0.0001,16.0,250.0,95.78313253012048
256.0,2.0,8.0,0.0001,16.0,500.0,95.42168674698796
256.0,2.0,8.0,0.0005,16.0,50.0,95.72289156626506
256.0,2.0,8.0,0.0005,16.0,100.0,94.57831325301204
256.0,2.0,8.0,0.0005,16.0,250.0,95.42168674698796
256.0,2.0,8.0,0.0005,16.0,500.0,94.81927710843374
256.0,4.0,2.0,0.0001,16.0,50.0,95.42168674698796
256.0,4.0,2.0,0.0001,16.0,100.0,95.90361445783132
256.0,4.0,2.0,0.0001,16.0,250.0,94.27710843373494
256.0,4.0,2.0,0.0001,16.0,500.0,95.06024096385542
256.0,4.0,2.0,0.0005,16.0,50.0,95.90361445783132
256.0,4.0,2.0,0.0005,16.0,100.0,95.90361445783132
256.0,4.0,2.0,0.0005,16.0,250.0,96.02409638554217
256.0,4.0,2.0,0.0005,16.0,500.0,95.48192771084338
256.0,4.0,4.0,0.0001,16.0,50.0,95.60240963855422
256.0,4.0,4.0,0.0001,16.0,100.0,95.42168674698796
256.0,4.0,4.0,0.0001,16.0,250.0,96.02409638554217
256.0,4.0,4.0,0.0001,16.0,500.0,95.78313253012048
256.0,4.0,4.0,0.0005,16.0,50.0,95.60240963855422
256.0,4.0,4.0,0.0005,16.0,100.0,96.144578313253
256.0,4.0,4.0,0.0005,16.0,250.0,95.06024096385542
256.0,4.0,4.0,0.0005,16.0,500.0,94.51807228915662
256.0,4.0,8.0,0.0001,16.0,50.0,95.48192771084338
256.0,4.0,8.0,0.0001,16.0,100.0,96.20481927710843
256.0,4.0,8.0,0.0001,16.0,250.0,95.78313253012048
256.0,4.0,8.0,0.0001,16.0,500.0,96.20481927710843
256.0,4.0,8.0,0.0005,16.0,50.0,95.0
256.0,4.0,8.0,0.0005,16.0,100.0,96.02409638554217
256.0,4.0,8.0,0.0005,16.0,250.0,95.0
256.0,4.0,8.0,0.0005,16.0,500.0,94.1566265060241
256.0,8.0,2.0,0.0001,16.0,50.0,95.3012048192771
256.0,8.0,2.0,0.0001,16.0,100.0,95.5421686746988
256.0,8.0,2.0,0.0001,16.0,250.0,96.26506024096386
256.0,8.0,2.0,0.0001,16.0,500.0,95.78313253012048
256.0,8.0,2.0,0.0005,16.0,50.0,95.72289156626506
256.0,8.0,2.0,0.0005,16.0,100.0,95.42168674698796
256.0,8.0,2.0,0.0005,16.0,250.0,96.08433734939759
256.0,8.0,2.0,0.0005,16.0,500.0,95.24096385542168
256.0,8.0,4.0,0.0001,16.0,50.0,96.26506024096386
256.0,8.0,4.0,0.0001,16.0,100.0,95.90361445783132
256.0,8.0,4.0,0.0001,16.0,250.0,95.90361445783132
256.0,8.0,4.0,0.0001,16.0,500.0,96.08433734939759
256.0,8.0,4.0,0.0005,16.0,50.0,96.44578313253012
256.0,8.0,4.0,0.0005,16.0,100.0,94.33734939759036
256.0,8.0,4.0,0.0005,16.0,250.0,95.8433734939759
256.0,8.0,4.0,0.0005,16.0,500.0,95.18072289156626
256.0,8.0,8.0,0.0001,16.0,50.0,95.18072289156626
256.0,8.0,8.0,0.0001,16.0,100.0,95.96385542168674
256.0,8.0,8.0,0.0001,16.0,250.0,96.3855421686747
256.0,8.0,8.0,0.0001,16.0,500.0,96.32530120481928
256.0,8.0,8.0,0.0005,16.0,50.0,95.90361445783132
256.0,8.0,8.0,0.0005,16.0,100.0,95.78313253012048
256.0,8.0,8.0,0.0005,16.0,250.0,95.96385542168674
256.0,8.0,8.0,0.0005,16.0,500.0,94.33734939759036
256.0,16.0,2.0,0.0001,16.0,50.0,95.8433734939759
256.0,16.0,2.0,0.0001,16.0,100.0,95.42168674698796
256.0,16.0,2.0,0.0001,16.0,250.0,95.66265060240964
256.0,16.0,2.0,0.0001,16.0,500.0,96.02409638554217
256.0,16.0,2.0,0.0005,16.0,50.0,95.90361445783132
256.0,16.0,2.0,0.0005,16.0,100.0,95.48192771084338
256.0,16.0,2.0,0.0005,16.0,250.0,95.18072289156626
256.0,16.0,2.0,0.0005,16.0,500.0,95.18072289156626
256.0,16.0,4.0,0.0001,16.0,50.0,95.8433734939759
256.0,16.0,4.0,0.0001,16.0,100.0,95.42168674698796
256.0,16.0,4.0,0.0001,16.0,250.0,96.20481927710843
256.0,16.0,4.0,0.0001,16.0,500.0,95.66265060240964
256.0,16.0,4.0,0.0005,16.0,50.0,95.0
256.0,16.0,4.0,0.0005,16.0,100.0,95.24096385542168
256.0,16.0,4.0,0.0005,16.0,250.0,95.66265060240964
256.0,16.0,4.0,0.0005,16.0,500.0,95.3012048192771
256.0,16.0,8.0,0.0001,16.0,50.0,95.72289156626506
256.0,16.0,8.0,0.0001,16.0,100.0,95.3012048192771
256.0,16.0,8.0,0.0001,16.0,250.0,95.78313253012048
256.0,16.0,8.0,0.0001,16.0,500.0,96.02409638554217
256.0,16.0,8.0,0.0005,16.0,50.0,95.5421686746988
256.0,16.0,8.0,0.0005,16.0,100.0,95.48192771084338
256.0,16.0,8.0,0.0005,16.0,250.0,95.12048192771084
256.0,16.0,8.0,0.0005,16.0,500.0,94.57831325301204
